Model,Provider,Benchmark input tokens,Benchmark output tokens,Benchmark cost (USD),Jury input tokens,Jury output tokens,Jury cost (USD),Total cost (USD),Mean win rate,Macro-average
claude-opus-4-7,Anthropic,307942,171578,5.82916,888294,97238,4.3569335,10.1860935,0.9375,0.930695847362514
gemini-3.1-pro-preview,Google,177586,225322,2.7531324,684733,94129,3.6185631000000003,6.3716955,0.6979166666666666,0.9201686623561622
claude-sonnet-4-6,Anthropic,203325,201308,3.629595,1150788,101689,5.3307927,8.9603877,0.6875,0.9166308228808232
qwen3.7-max,Alibaba/Qwen,184409,310794,1.914179774,696645,98848,3.7166895999999996,5.6308693739999995,0.6041666666666666,0.8999257718875775
gemini-3-flash-preview,Google,177553,211499,0.63648068,675849,103697,3.6945109,4.33099158,0.4895833333333333,0.8880815204599929
gpt-4o,OpenAI,177923,43271,0.8775175,694870,116383,3.9074842,4.7850017,0.3854166666666667,0.8921549772244216
deepseek-r1,DeepSeek,172531,147566,0.4347931499999991,768877,119750,4.1996801999999995,4.63447335,0.3125,0.8709760853858075
deepseek-v3.2,DeepSeek,172291,38052,0.06422332,675781,126307,3.9497931,4.01401642,0.2916666666666667,0.8556424606771831
gpt-4o-mini,OpenAI,177923,25395,0.041925449999999996,631108,140903,3.9678242999999997,4.00974975,0.0208333333333333,0.7881653936341437
