Model,Provider,Number of open-task responses,Accuracy,Completeness,Clarity,Safety,Overall,Normalized open-task score,Mean jury SD,Jury parse success rate
claude-opus-4-7,Anthropic,102,4.990196078431373,4.944444444444445,5.0,4.977124183006535,4.993464052287582,0.9945533769063181,0.011320593513522069,1.0
claude-sonnet-4-6,Anthropic,102,4.839869281045752,4.990196078431373,4.977124183006536,4.9411764705882355,4.957516339869282,0.9839324618736385,0.06792356108113243,1.0
qwen3.7-max,Alibaba/Qwen,102,4.905228758169934,4.803921568627451,4.967320261437909,4.967320261437909,4.921568627450981,0.9730392156862745,0.11886623189198177,1.0
gemini-3.1-pro-preview,Google,102,4.921568627450981,4.787581699346406,4.96078431372549,4.96078431372549,4.921568627450981,0.9724945533769065,0.13018682540550383,1.0
gemini-3-flash-preview,Google,102,4.813725490196079,4.6307189542483655,4.954248366013072,4.937908496732026,4.802287581699346,0.9498910675381264,0.26097110235318843,1.0
deepseek-r1,DeepSeek,102,4.591503267973856,4.781045751633987,4.937908496732026,4.774509803921569,4.6830065359477135,0.9425381263616559,0.4138234634054595,1.0
gpt-4o,OpenAI,102,4.571895424836602,4.444444444444445,4.879084967320262,4.76797385620915,4.568627450980393,0.9079520697167757,0.42327222361564415,1.0
deepseek-v3.2,DeepSeek,102,4.532679738562092,4.160130718954249,4.683006535947713,4.728758169934641,4.424836601307191,0.8646514161220044,0.4206761308216535,1.0
gpt-4o-mini,OpenAI,102,3.950980392156863,3.38235294117647,4.477124183006537,4.316993464052288,3.676470588235294,0.7342047930283224,0.5969004498448801,1.0
