Rank,Model,Provider,Mean win rate,Win SD,Mean win rate (tie=0.5),Mean win rate (tie=win),Macro-average,SD
1,claude-opus-4-7,Anthropic,0.9375,0.1196783884695422,0.9427083333333334,0.9479166666666666,0.930695847362514,0.1316651791015635
2,gemini-3.1-pro-preview,Google,0.6979166666666666,0.2006391696276898,0.71875,0.7395833333333334,0.9201686623561622,0.1275814257703027
3,claude-sonnet-4-6,Anthropic,0.6875,0.2009093908540199,0.703125,0.71875,0.9166308228808232,0.131053196999649
4,qwen3.7-max,Alibaba/Qwen,0.6041666666666666,0.1679637030895531,0.6197916666666666,0.6354166666666666,0.8999257718875775,0.1146834608402758
5,gemini-3-flash-preview,Google,0.4895833333333333,0.1801210048519852,0.4947916666666667,0.5,0.8880815204599929,0.1272467478593829
6,gpt-4o,OpenAI,0.3854166666666667,0.1484146546747396,0.3854166666666667,0.3854166666666667,0.8921549772244216,0.1226905701246204
7,deepseek-r1,DeepSeek,0.3125,0.2724311839712921,0.3177083333333333,0.3229166666666667,0.8709760853858075,0.1159810885820783
8,deepseek-v3.2,DeepSeek,0.2916666666666667,0.2185018433687816,0.296875,0.3020833333333333,0.8556424606771831,0.138404622004423
9,gpt-4o-mini,OpenAI,0.0208333333333333,0.0465847495312456,0.0208333333333333,0.0208333333333333,0.7881653936341437,0.1049371044998381
