model_name,Clinical Management Decision Support,Identification and Integrated Assessment of Neurological Deficits,Injury Type Recognition and Clinical Classification,Risk Prediction and Prognostic Assessment,TBI Identification and Severity Grading,Discharge and Follow-up Documentation,History and Neurological Examination Documentation,Investigation Findings and Clinical Course Summarization,Progress Note Generation and Interval Assessment,Structured Recording of Scales and Scores,Assessment Data Curation and Analysis,Model Evaluation and Comparative Analysis,Research Findings Summarization and Writing Support,Research Quality Control and Bias Assessment,Variable and Outcome Definition Support,Communication of Risk and Prognosis,Explanation of Condition and Injury Status,Explanation of Investigations and Treatment Plans,Follow-up and Long-term Surveillance Recommendations,Rehabilitation Guidance and Home Care Education
claude-opus-4-7,0.6901709401709402,1.0,0.4615384615384615,0.7692307692307693,0.6901709401709403,1.0,0.9974747474747476,0.9974747474747474,0.9974747474747474,0.9974747474747476,1.0,0.9783950617283952,0.9845679012345678,1.0,0.7777777777777778,0.9974747474747474,0.9974747474747476,1.0,1.0,1.0
gemini-3.1-pro-preview,0.688034188034188,0.9984567901234568,0.5363247863247863,0.7670940170940171,0.6132478632478633,0.9791666666666669,0.9848484848484848,0.9949494949494948,0.9696969696969698,0.9848484848484848,1.0,0.941358024691358,0.9814814814814816,0.988095238095238,0.7746913580246914,1.0,0.9974747474747476,0.9949494949494948,0.9618055555555556,1.0
claude-sonnet-4-6,0.688034188034188,0.9938271604938272,0.452991452991453,0.7628205128205129,0.6901709401709402,0.9774305555555556,0.9974747474747474,0.9949494949494948,0.9924242424242424,1.0,1.0,0.8765432098765432,0.8611111111111112,0.9980158730158732,0.7746913580246914,0.98989898989899,0.9974747474747474,0.9949494949494948,0.9947916666666669,0.9974747474747476
qwen3.7-max,0.6816239316239318,0.9953703703703703,0.6153846153846154,0.688034188034188,0.6901709401709402,0.96875,0.9671717171717172,0.9974747474747476,0.9873737373737372,0.8106060606060606,1.0,0.9382716049382718,0.8487654320987654,0.8571428571428571,0.7746913580246914,0.9974747474747476,0.9974747474747476,0.9924242424242424,0.984375,1.0
gemini-3-flash-preview,0.6858974358974359,0.9969135802469136,0.3824786324786325,0.6858974358974359,0.7628205128205129,0.9791666666666669,0.9823232323232324,0.98989898989899,0.952020202020202,0.792929292929293,0.9969135802469136,0.9166666666666666,0.8641975308641975,0.8492063492063492,0.7716049382716049,0.9722222222222222,0.9873737373737372,0.9747474747474748,0.9739583333333334,0.9974747474747476
gpt-4o,0.6538461538461539,0.9814814814814816,0.5299145299145299,0.6901709401709403,0.6752136752136753,0.9236111111111112,0.9368686868686869,0.9873737373737376,0.9469696969696972,0.952020202020202,0.9969135802469136,0.8765432098765432,0.7932098765432098,0.9821428571428572,0.7623456790123457,0.9722222222222222,0.9823232323232324,0.9595959595959596,0.9722222222222222,0.9772727272727272
deepseek-r1,0.608974358974359,0.9907407407407408,0.6858974358974359,0.6901709401709402,0.688034188034188,0.875,0.9570707070707072,0.8964646464646466,0.9191919191919192,0.8030303030303031,1.0,0.7160493827160495,0.712962962962963,0.996031746031746,0.7716049382716049,0.9595959595959598,0.9772727272727272,0.9646464646464648,0.9270833333333334,0.9747474747474748
deepseek-v3.2,0.6517094017094016,0.9382716049382716,0.5192307692307693,0.6837606837606838,0.5854700854700854,0.6788194444444444,0.9015151515151516,0.9444444444444444,0.8914141414141414,0.9242424242424242,0.9444444444444444,0.8456790123456792,0.8641975308641975,0.996031746031746,0.7623456790123457,0.9646464646464646,0.9242424242424242,0.9444444444444444,0.9913194444444444,0.9747474747474748
gpt-4o-mini,0.6111111111111112,0.933641975308642,0.4337606837606838,0.6645299145299146,0.6602564102564104,0.8020833333333333,0.8434343434343435,0.9217171717171716,0.8914141414141414,0.7297979797979797,0.8487654320987654,0.7993827160493827,0.691358024691358,0.7698412698412699,0.6820987654320988,0.8535353535353534,0.8636363636363636,0.8358585858585859,0.8628472222222222,0.8484848484848485
