model_name,"Clinical
decision
support","Clinical
documentation
generation","Patient
communication
and education","Medical
research
assistance"
claude-opus-4-7,0.7420634920634921,0.9981481481481482,0.999074074074074,0.9533333333333336
gemini-3.1-pro-preview,0.7404761904761905,0.9824074074074076,0.988425925925926,0.9422222222222224
claude-sonnet-4-6,0.7373015873015873,0.9912037037037036,0.9949074074074074,0.9116666666666668
qwen3.7-max,0.7527777777777778,0.9481481481481482,0.9935185185185186,0.8811111111111112
gemini-3-flash-preview,0.7238095238095239,0.9425925925925926,0.9805555555555556,0.8766666666666667
gpt-4o,0.7257936507936508,0.9472222222222224,0.9726851851851852,0.8922222222222222
deepseek-r1,0.7511904761904762,0.888888888888889,0.9578703703703704,0.855
deepseek-v3.2,0.6944444444444445,0.8523148148148147,0.9625,0.8938888888888888
gpt-4o-mini,0.6801587301587302,0.8347222222222223,0.8537037037037037,0.7594444444444445
