Model,Provider,total_cost,benchmark_cost,jury_cost,benchmark_input_tokens,benchmark_output_tokens,jury_input_tokens,jury_output_tokens,Mean win rate,Macro-average,Win SD,SD
claude-opus-4-7,Anthropic,10.1860935,5.82916,4.3569335,307942,171578,888294,97238,0.9375,0.930695847362514,0.1196783884695422,0.1316651791015635
gemini-3.1-pro-preview,Google,6.3716955,2.7531324,3.6185631000000003,177586,225322,684733,94129,0.6979166666666666,0.9201686623561622,0.2006391696276898,0.1275814257703027
claude-sonnet-4-6,Anthropic,8.9603877,3.629595,5.3307927,203325,201308,1150788,101689,0.6875,0.9166308228808232,0.2009093908540199,0.131053196999649
qwen3.7-max,Alibaba/Qwen,5.6308693739999995,1.914179774,3.7166895999999996,184409,310794,696645,98848,0.6041666666666666,0.8999257718875775,0.1679637030895531,0.1146834608402758
gemini-3-flash-preview,Google,4.33099158,0.63648068,3.6945109,177553,211499,675849,103697,0.4895833333333333,0.8880815204599929,0.1801210048519852,0.1272467478593829
gpt-4o,OpenAI,4.7850017,0.8775175,3.9074842,177923,43271,694870,116383,0.3854166666666667,0.8921549772244216,0.1484146546747396,0.1226905701246204
deepseek-r1,DeepSeek,4.63447335,0.4347931499999991,4.1996801999999995,172531,147566,768877,119750,0.3125,0.8709760853858075,0.2724311839712921,0.1159810885820783
deepseek-v3.2,DeepSeek,4.01401642,0.06422332,3.9497931,172291,38052,675781,126307,0.2916666666666667,0.8556424606771831,0.2185018433687816,0.138404622004423
gpt-4o-mini,OpenAI,4.00974975,0.041925449999999996,3.9678242999999997,177923,25395,631108,140903,0.0208333333333333,0.7881653936341437,0.0465847495312456,0.1049371044998381
